  0%|                                                                          | 0/93765 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
C:\Users\dahun\Financial-LLM-Optimization\.venv\lib\site-packages\bitsandbytes\autograd\_functions.py:185: UserWarning: MatMul8bitLt: inputs will be cast from torch.float32 to float16 during quantization
  warnings.warn(f"MatMul8bitLt: inputs will be cast from {A.dtype} to float16 during quantization")
                                                                                                         
{'loss': 0.6396, 'grad_norm': 3.2295734882354736, 'learning_rate': 2.7750226630405805e-07, 'epoch': 14.8}
{'loss': 0.6942, 'grad_norm': 3.598057508468628, 'learning_rate': 2.5617234575801204e-07, 'epoch': 14.81}
{'loss': 0.6487, 'grad_norm': 2.9828195571899414, 'learning_rate': 2.3484242521196612e-07, 'epoch': 14.83}
{'loss': 0.5805, 'grad_norm': 3.171090841293335, 'learning_rate': 2.135125046659201e-07, 'epoch': 14.85}
{'loss': 0.6082, 'grad_norm': 3.6207518577575684, 'learning_rate': 1.9218258411987416e-07, 'epoch': 14.86}
{'loss': 0.7071, 'grad_norm': 3.754688024520874, 'learning_rate': 1.708526635738282e-07, 'epoch': 14.88}
{'loss': 0.6406, 'grad_norm': 3.410055637359619, 'learning_rate': 1.4952274302778223e-07, 'epoch': 14.89}
{'loss': 0.6255, 'grad_norm': 3.561913251876831, 'learning_rate': 1.2840612168719673e-07, 'epoch': 14.91}
{'loss': 0.665, 'grad_norm': 3.328218936920166, 'learning_rate': 1.0707620114115075e-07, 'epoch': 14.93}
{'loss': 0.6167, 'grad_norm': 1.0224292278289795, 'learning_rate': 8.57462805951048e-08, 'epoch': 14.94}
{'loss': 0.6788, 'grad_norm': 3.8020620346069336, 'learning_rate': 6.441636004905882e-08, 'epoch': 14.96}
{'loss': 0.6262, 'grad_norm': 2.8192367553710938, 'learning_rate': 4.308643950301285e-08, 'epoch': 14.97}
{'loss': 0.6218, 'grad_norm': 2.595200777053833, 'learning_rate': 2.1756518956966888e-08, 'epoch': 14.99}
                                                                                                         
{'eval_loss': 1.242634892463684, 'eval_runtime': 8478.3066, 'eval_samples_per_second': 0.104, 'eval_steps_per_second': 0.013, 'epoch': 15.0}
{'train_runtime': 14079.4673, 'train_samples_per_second': 6.66, 'train_steps_per_second': 6.66, 'train_loss': 0.0430835490556537, 'epoch': 15.0}
Training complete!
Final model saved to ./results_8bit/final_model
